Consequents,counts
Normal Stress,343
Moderate ESF,206
Moderate CRF,182
High PreTest,155
Positive Delta,136
High TP,128
Normal Depression,95
High CP,80
Low CN,55
Moderate TN,50
Moderate TP,40
Low TN,40
Moderate PreTest,23
Moderate CN,23
Moderate Anxiety,18
Severe Anxiety,16
Normal Anxiety,14
Moderate CP,13
Moderate Depression,11
Neutral Delta,9
Moderate PostTest,8
Mild Stress,8
Moderate Stress,7
Negative Delta,6
High TN,4
Mild Anxiety,3
Severe Depression,3
High CRF,2
High ESF,2
Low ESF,2
Low TP,1
Mild Depression,1
