Consequents,counts
['High PostTest'],413
['Normal Stress'],272
['Moderate ESF'],165
['Moderate CRF'],138
['High PreTest'],114
['Positive Delta'],109
['High TP'],91
['Normal Depression'],80
['High CP'],58
['Low CN'],53
['Moderate TN'],29
['Moderate TP'],26
['Moderate CP'],25
['Low TN'],21
['Normal Anxiety'],15
['Moderate CN'],14
['Moderate PreTest'],13
['Moderate Anxiety'],8
['Severe Anxiety'],8
['Moderate Stress'],7
['Moderate PostTest'],7
['Mild Stress'],6
['Moderate Depression'],4
['Neutral Delta'],3
['Severe Depression'],3
['High TN'],3
['Mild Depression'],2
['Mild Anxiety'],2
['High CRF'],1
['Negative Delta'],1
['High ESF'],1
['Low TP'],1
['Low ESF'],1
