Antecedents,Consequents,Support,Confidence,Lift
['High CN'],['Neutral Delta'],0.0049504950495049506,0.33333333333333337,3.206349206349207
['Moderate Stress'],['Neutral Delta'],0.0049504950495049506,0.33333333333333337,3.206349206349207
['High CN'],['Negative Delta'],0.0049504950495049506,0.33333333333333337,1.6833333333333333
['High TN'],['Neutral Delta'],0.0049504950495049506,0.16666666666666669,1.6031746031746035
['Low PreTest'],['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
['Low TP'],['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['High CN', 'High TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CRF', 'High CN']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High CN', 'Normal Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High CN', 'Normal Stress']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High CP', 'Moderate Stress']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Low ESF', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High ESF', 'Mild Depression']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Moderate PreTest', 'High TN']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High TN', 'Normal Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High TN', 'Normal Stress']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate Stress', 'High TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Low ESF', 'Mild Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Mild Stress', 'Low TN']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Severe Anxiety', 'Low TN']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Low TP', 'Moderate ESF']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Low TP', 'Normal Stress']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate PreTest', 'Mild Stress']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Moderate PreTest', 'Moderate Depression']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Moderate Depression', 'Normal Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate PreTest', 'Severe Anxiety']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Severe Anxiety', 'High CP', 'Normal Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High CP', 'Normal Stress', 'Severe Anxiety']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Moderate CP', 'High CRF', 'High TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CP', 'Low CN', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Low CN', 'High CRF', 'Moderate TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CP', 'High CRF', 'Low TN']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate TP', 'High CRF', 'Low TN']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate Anxiety', 'High CRF', 'Mild Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate PreTest', 'High CRF', 'Mild Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CN', 'Moderate PreTest', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate PreTest', 'Moderate CP', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Normal Stress', 'Moderate Depression', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate PreTest', 'Moderate TN', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate PreTest', 'High CRF', 'Moderate TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate TN', 'High CRF', 'Normal Anxiety']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
