Antecedents,Consequents,Support,Confidence,Lift
['High CN'],['High TN'],0.01485148514851485,1.0,33.66666666666667
['High CN'],['Moderate Stress'],0.0049504950495049506,0.33333333333333337,22.444444444444446
['Low PreTest'],['Severe Anxiety'],0.0049504950495049506,1.0,12.625
['Severe Anxiety'],['Severe Depression'],0.0049504950495049506,0.0625,12.625
['High TN'],['Moderate Stress'],0.0049504950495049506,0.16666666666666669,11.222222222222223
['Mild Stress'],['Severe Depression'],0.0049504950495049506,0.05263157894736842,10.63157894736842
['Moderate Depression'],['Moderate Stress'],0.01485148514851485,0.15,10.1
['High CN'],['Severe Anxiety'],0.009900990099009901,0.6666666666666667,8.416666666666668
['Moderate Stress'],['Severe Anxiety'],0.009900990099009901,0.6666666666666667,8.416666666666668
['High TN'],['Mild Stress'],0.019801980198019802,0.6666666666666667,7.087719298245615
['High CN'],['Moderate Depression'],0.009900990099009901,0.6666666666666667,6.733333333333333
['High TN'],['Moderate Depression'],0.019801980198019802,0.6666666666666667,6.733333333333333
['High TN'],['Severe Anxiety'],0.01485148514851485,0.5,6.3125
['Low TP'],['Severe Anxiety'],0.0049504950495049506,0.5,6.3125
['High CRF'],['Moderate Stress'],0.01485148514851485,0.08108108108108109,5.45945945945946
['Low TP'],['Mild Stress'],0.0049504950495049506,0.5,5.315789473684211
['High CN'],['Moderate PostTest'],0.0049504950495049506,0.33333333333333337,5.17948717948718
['Low TP'],['Moderate Depression'],0.0049504950495049506,0.5,5.05
['High ESF'],['Low TP'],0.0049504950495049506,0.049999999999999996,5.05
['Negative Delta'],['Severe Depression'],0.0049504950495049506,0.024999999999999998,5.05
"['Mild Stress', 'Low TN']",['Moderate PreTest'],0.0049504950495049506,1.0,3.8846153846153846
"['Low CN', 'High CRF', 'Moderate TP']",['Moderate PreTest'],0.0049504950495049506,1.0,3.8846153846153846
"['Mild Stress', 'Low TN']",['Moderate Anxiety'],0.0049504950495049506,1.0,3.7407407407407405
"['Low CN', 'Moderate Depression', 'Moderate ESF']",['Moderate Anxiety'],0.0049504950495049506,1.0,3.7407407407407405
['High CN'],['High CRF'],0.009900990099009901,0.6666666666666667,3.63963963963964
['Low PreTest'],['Moderate TP'],0.0049504950495049506,1.0,3.5438596491228074
"['Moderate Depression', 'Normal Anxiety']",['Moderate TP'],0.0049504950495049506,1.0,3.5438596491228074
"['Moderate PreTest', 'Negative Delta']",['Moderate TP'],0.0049504950495049506,1.0,3.5438596491228074
['High CN'],['Mild Stress'],0.0049504950495049506,0.33333333333333337,3.5438596491228074
['High CN'],['High ESF'],0.0049504950495049506,0.33333333333333337,3.3666666666666667
['High ESF'],['Moderate Stress'],0.0049504950495049506,0.049999999999999996,3.3666666666666667
['High CN'],['Neutral Delta'],0.0049504950495049506,0.33333333333333337,3.206349206349207
['Moderate Stress'],['Neutral Delta'],0.0049504950495049506,0.33333333333333337,3.206349206349207
['Low PreTest'],['Moderate CP'],0.0049504950495049506,1.0,3.0606060606060606
['Low TP'],['Moderate CP'],0.009900990099009901,1.0,3.0606060606060606
"['Moderate Depression', 'Normal Anxiety']",['Moderate CP'],0.0049504950495049506,1.0,3.0606060606060606
"['Moderate PreTest', 'Negative Delta']",['Moderate CP'],0.0049504950495049506,1.0,3.0606060606060606
"['Low CN', 'Moderate Depression', 'Moderate ESF']",['Moderate CP'],0.0049504950495049506,1.0,3.0606060606060606
['Low TP'],['Mild Depression'],0.0049504950495049506,0.5,3.0606060606060606
['Severe Depression'],['Moderate CN'],0.0049504950495049506,1.0,3.014925373134328
"['Mild Anxiety', 'Mild Stress']",['Moderate CN'],0.0049504950495049506,1.0,3.014925373134328
"['Moderate Depression', 'Normal Anxiety']",['Moderate CN'],0.0049504950495049506,1.0,3.014925373134328
['High TN'],['Moderate PostTest'],0.0049504950495049506,0.16666666666666669,2.58974358974359
['High ESF'],['Severe Anxiety'],0.019801980198019802,0.19999999999999998,2.525
['Low TP'],['Moderate TN'],0.009900990099009901,1.0,2.4634146341463414
['Severe Depression'],['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Low ESF', 'Mild Depression']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Mild Anxiety', 'Mild Stress']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Moderate Depression', 'Normal Anxiety']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Severe Anxiety', 'High CP', 'Normal Depression']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Low CN', 'Moderate Depression', 'Moderate ESF']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Moderate CN', 'Mild Anxiety', 'Mild Depression']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Moderate CN', 'Mild Anxiety', 'Moderate PreTest']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Moderate CN', 'Mild Anxiety', 'Positive Delta', 'High TP']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
['High CN'],['Moderate TP'],0.009900990099009901,0.6666666666666667,2.362573099415205
['Moderate Stress'],['Moderate TP'],0.009900990099009901,0.6666666666666667,2.362573099415205
['High ESF'],['Moderate PostTest'],0.01485148514851485,0.15,2.3307692307692305
['Moderate Depression'],['Moderate PostTest'],0.01485148514851485,0.15,2.3307692307692305
"['Low ESF', 'High CRF']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Moderate PreTest', 'Negative Delta']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Low CN', 'High CRF', 'Moderate TP']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Moderate TP', 'High CRF', 'Low TN']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Low ESF', 'Moderate CP', 'Low CN']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Low CN', 'Neutral Delta', 'Moderate TP']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Neutral Delta', 'Moderate TP', 'Low TN']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['High CP', 'Moderate TP', 'Moderate ESF', 'Low TN']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
['Moderate CP'],['Moderate Stress'],0.009900990099009901,0.030303030303030304,2.0404040404040407
['Moderate CN'],['Moderate Stress'],0.009900990099009901,0.029850746268656716,2.009950248756219
['High TN'],['Low ESF'],0.0049504950495049506,0.16666666666666669,1.9803921568627452
"['Severe Anxiety', 'Low TN']",['Moderate PreTest'],0.0049504950495049506,0.5,1.9423076923076923
['High CN'],['Mild Anxiety'],0.0049504950495049506,0.33333333333333337,1.8703703703703707
['Low TP'],['Moderate Anxiety'],0.0049504950495049506,0.5,1.8703703703703702
['High CRF'],['High TN'],0.009900990099009901,0.05405405405405406,1.81981981981982
['Low PreTest'],['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Low ESF', 'High CRF']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['High ESF', 'Neutral Delta']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Mild Anxiety', 'Moderate PostTest']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Neutral Delta', 'Moderate Anxiety']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate PreTest', 'Negative Delta']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate CP', 'High CRF', 'High TP']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate CP', 'Low CN', 'High CRF']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Low CN', 'High CRF', 'Moderate TP']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Mild Anxiety', 'Low CN', 'High ESF']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate CRF', 'High ESF', 'Moderate PreTest']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate CRF', 'High ESF', 'Normal Anxiety']",['Low TN'],0.009900990099009901,1.0,1.7719298245614037
"['Low ESF', 'Moderate CP', 'Low CN']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Low CN', 'Neutral Delta', 'Moderate TP']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['High PreTest', 'Low CN', 'Moderate TP', 'Mild Anxiety']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Mild Anxiety', 'Moderate CP', 'Normal Depression', 'High TP']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate CRF', 'Mild Anxiety', 'Low CN', 'Negative Delta']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate CP', 'High TN']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Severe Anxiety', 'Low TN']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Mild Anxiety', 'Moderate Depression']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Moderate PreTest', 'Moderate Depression']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Moderate CP', 'Normal Stress', 'High CRF']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['High ESF', 'Moderate TN', 'Normal Depression']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Moderate TN', 'Negative Delta', 'Normal Anxiety']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
['High CN'],['Negative Delta'],0.0049504950495049506,0.33333333333333337,1.6833333333333333
['High ESF'],['High TN'],0.0049504950495049506,0.049999999999999996,1.6833333333333333
['Moderate Stress'],['Moderate TN'],0.009900990099009901,0.6666666666666667,1.6422764227642277
['Mild Stress'],['Moderate PostTest'],0.009900990099009901,0.10526315789473684,1.6356275303643724
['High TN'],['Neutral Delta'],0.0049504950495049506,0.16666666666666669,1.6031746031746035
['Low PreTest'],['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Low ESF', 'High CRF']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High ESF', 'Neutral Delta']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Mild Stress', 'Low TN']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Severe Anxiety', 'Low TN']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Neutral Delta', 'Moderate Anxiety']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate PreTest', 'Negative Delta']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High CP', 'Moderate Depression', 'Normal Stress']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Severe Anxiety', 'High CP', 'Normal Depression']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High CP', 'Normal Stress', 'Severe Anxiety']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate CP', 'High CRF', 'High TP']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CP', 'High ESF', 'Normal Anxiety']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CP', 'High ESF', 'Normal Depression']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate CRF', 'High ESF', 'Moderate PreTest']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CRF', 'High ESF', 'Normal Anxiety']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate PreTest', 'High ESF', 'Normal Anxiety']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Low TN', 'Severe Anxiety', 'High TP']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Mild Anxiety', 'Moderate CP', 'High TP']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate Depression', 'Normal Stress', 'High TP']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate PreTest', 'Mild Depression', 'Low TN']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate CP', 'Moderate Anxiety', 'Low TN']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate CRF', 'Severe Anxiety', 'Low TN']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate ESF', 'Severe Anxiety', 'Low TN']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High CP', 'High PostTest', 'Moderate Depression', 'Normal Stress']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High CP', 'Moderate TP', 'Moderate ESF', 'Low TN']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CRF', 'Positive Delta', 'High ESF', 'High TP']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['High PostTest', 'Moderate Depression', 'Normal Stress', 'High TP']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Low TN', 'Moderate CP', 'Negative Delta', 'High TP']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Mild Anxiety', 'Positive Delta', 'Mild Depression', 'High TP']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Mild Anxiety', 'Moderate CP', 'Normal Depression', 'High TP']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CRF', 'Mild Depression', 'Normal Anxiety', 'High TP']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate PreTest', 'Moderate CP', 'Normal Anxiety', 'High TP']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
