Antecedents,Consequents,Support,Confidence,Lift
"['Mild Stress', 'Low TN']",['Moderate PreTest'],0.0049504950495049506,1.0,3.8846153846153846
"['Low CN', 'High CRF', 'Moderate TP']",['Moderate PreTest'],0.0049504950495049506,1.0,3.8846153846153846
"['Severe Anxiety', 'Low TN']",['Moderate PreTest'],0.0049504950495049506,0.5,1.9423076923076923
['Low TP'],['High PreTest'],0.009900990099009901,1.0,1.3557046979865772
['Severe Depression'],['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Neutral Delta', 'High CRF']",['High PreTest'],0.009900990099009901,1.0,1.3557046979865772
"['High ESF', 'Neutral Delta']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Low TP', 'Moderate ESF']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Low TP', 'Normal Stress']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Mild Anxiety', 'Mild Stress']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Mild Anxiety', 'Moderate Depression']",['High PreTest'],0.009900990099009901,1.0,1.3557046979865772
"['Mild Anxiety', 'Moderate PostTest']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Neutral Delta', 'Mild Depression']",['High PreTest'],0.009900990099009901,1.0,1.3557046979865772
"['Mild Stress', 'Neutral Delta']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Neutral Delta', 'Moderate Anxiety']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Moderate Depression', 'Normal Anxiety']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['High CP', 'Neutral Delta', 'High CRF']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['High CP', 'Mild Anxiety', 'Moderate Depression']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Moderate CN', 'High CP', 'Moderate PostTest']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['High CP', 'Moderate Depression', 'Normal Stress']",['High PreTest'],0.009900990099009901,1.0,1.3557046979865772
"['High CP', 'Moderate PostTest', 'Moderate TN']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Severe Anxiety', 'High CP', 'Normal Depression']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
"['Neutral Delta', 'High CRF', 'High TP']",['High PreTest'],0.0049504950495049506,1.0,1.3557046979865772
