Antecedents,Consequents,Support,Confidence,Lift
['Normal Stress'],High PostTest,0.8366336633663366,0.9388888888888889,1.0034685479129923
['Moderate ESF'],High PostTest,0.7673267326732673,0.9393939393939394,1.0040083373416706
"['Normal Stress', 'Moderate ESF']",High PostTest,0.6881188118811881,0.9391891891891891,1.0037895037895037
['Moderate CRF'],High PostTest,0.7673267326732673,0.9393939393939394,1.0040083373416706
"['Moderate CRF', 'Normal Stress']",High PostTest,0.698019801980198,0.94,1.0046560846560846
"['Moderate CRF', 'Moderate ESF']",High PostTest,0.6534653465346535,0.9361702127659576,1.0005628729032985
"['Moderate CRF', 'Normal Stress', 'Moderate ESF']",High PostTest,0.594059405940594,0.9375,1.001984126984127
['High PreTest'],High PostTest,0.693069306930693,0.9395973154362416,1.0042257022122794
['High PostTest'],High PreTest,0.693069306930693,0.7407407407407406,1.0042257022122791
['Moderate CRF'],High PreTest,0.6089108910891089,0.7454545454545455,1.0106162294081757
['Moderate ESF'],High PreTest,0.6039603960396039,0.7393939393939394,1.0023998372991663
"['High PreTest', 'Normal Stress']",High PostTest,0.6089108910891089,0.9461538461538461,1.0112332112332112
"['Moderate CRF', 'High PreTest']",High PostTest,0.5742574257425742,0.9430894308943089,1.0079580160880972
"['Moderate CRF', 'High PostTest']",High PreTest,0.5742574257425742,0.7483870967741935,1.0145919030093093
"['Moderate CRF', 'High PreTest', 'Normal Stress']",High PostTest,0.5148514851485149,0.9454545454545454,1.0104858104858103
"['High PreTest', 'Moderate ESF']",High PostTest,0.5742574257425742,0.9508196721311475,1.016219967039639
"['High PostTest', 'Moderate ESF']",High PreTest,0.5742574257425742,0.7483870967741935,1.0145919030093093
"['Moderate CRF', 'Moderate ESF']",High PreTest,0.5198019801980198,0.7446808510638299,1.0095673282878768
"['High PreTest', 'Normal Stress', 'Moderate ESF']",High PostTest,0.5099009900990099,0.9537037037037037,1.019302371154223
"['High PostTest', 'Normal Stress', 'Moderate ESF']",High PreTest,0.5099009900990099,0.7410071942446044,1.0045869344792624
"['Moderate CRF', 'High PreTest', 'Moderate ESF']",High PostTest,0.4900990099009901,0.9428571428571428,1.0077097505668933
"['Moderate CRF', 'High PostTest', 'Moderate ESF']",High PreTest,0.4900990099009901,0.75,1.016778523489933
"['Moderate CRF', 'High PreTest', 'Normal Stress', 'Moderate ESF']",High PostTest,0.4405940594059406,0.9468085106382979,1.0119329055499267
"['Moderate CRF', 'High PostTest', 'Normal Stress', 'Moderate ESF']",High PreTest,0.4405940594059406,0.7416666666666667,1.0054809843400447
