Rule
['High CN'] --> ['Moderate PostTest']
['High CRF'] --> ['Moderate PostTest']
['High ESF'] --> ['Moderate PostTest']
['Low PreTest'] --> ['High PostTest']
['Low TP'] --> ['High PostTest']
['Moderate Stress'] --> ['High PostTest']
['Severe Depression'] --> ['High PostTest']
['High TN'] --> ['Moderate PostTest']
['Mild Stress'] --> ['Moderate PostTest']
['Moderate Anxiety'] --> ['Moderate PostTest']
['Moderate Depression'] --> ['Moderate PostTest']
"['High CN', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'High CN'] --> ['High PostTest']"
"['High CN', 'Normal Depression'] --> ['High PostTest']"
"['High CN', 'Normal Stress'] --> ['High PostTest']"
"['Positive Delta', 'High CN'] --> ['High PostTest']"
"['High CP', 'Moderate Stress'] --> ['High PostTest']"
"['Low ESF', 'High CRF'] --> ['High PostTest']"
"['Neutral Delta', 'High CRF'] --> ['High PostTest']"
"['High ESF', 'Mild Depression'] --> ['High PostTest']"
"['High ESF', 'Neutral Delta'] --> ['High PostTest']"
"['High PreTest', 'Moderate Stress'] --> ['High PostTest']"
"['Moderate PreTest', 'High TN'] --> ['High PostTest']"
"['High TN', 'Normal Depression'] --> ['High PostTest']"
"['High TN', 'Normal Stress'] --> ['High PostTest']"
"['Moderate Stress', 'High TP'] --> ['High PostTest']"
"['Low TP', 'Low CN'] --> ['High PostTest']"
"['Low CN', 'Mild Stress'] --> ['High PostTest']"
"['Low ESF', 'Mild Depression'] --> ['High PostTest']"
"['Low ESF', 'Severe Anxiety'] --> ['High PostTest']"
"['Mild Stress', 'Low TN'] --> ['High PostTest']"
"['Severe Anxiety', 'Low TN'] --> ['High PostTest']"
"['Low TP', 'Moderate ESF'] --> ['High PostTest']"
"['Low TP', 'Normal Stress'] --> ['High PostTest']"
"['Mild Anxiety', 'Mild Stress'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Neutral Delta', 'Mild Depression'] --> ['High PostTest']"
"['Mild Depression', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Mild Stress'] --> ['High PostTest']"
"['Mild Stress', 'Neutral Delta'] --> ['High PostTest']"
"['Neutral Delta', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate Stress', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate PreTest', 'Severe Anxiety'] --> ['High PostTest']"
"['Positive Delta', 'Moderate Stress'] --> ['High PostTest']"
"['High CP', 'Neutral Delta', 'High CRF'] --> ['High PostTest']"
"['High CP', 'High TN', 'Moderate ESF'] --> ['High PostTest']"
"['High CP', 'Low CN', 'Severe Anxiety'] --> ['High PostTest']"
"['High CP', 'Moderate TP', 'Low TN'] --> ['High PostTest']"
"['High CP', 'Mild Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['High CP', 'Mild Depression', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'High CP', 'Mild Stress'] --> ['High PostTest']"
"['High CP', 'Moderate TP', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'High CP', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate PreTest', 'High CP', 'Severe Anxiety'] --> ['High PostTest']"
"['Severe Anxiety', 'High CP', 'Normal Depression'] --> ['High PostTest']"
"['High CP', 'Normal Stress', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'High CRF', 'High TP'] --> ['High PostTest']"
"['Neutral Delta', 'High CRF', 'High TP'] --> ['High PostTest']"
"['Low CN', 'High CRF', 'Mild Depression'] --> ['High PostTest']"
"['Moderate CP', 'Low CN', 'High CRF'] --> ['High PostTest']"
"['Low CN', 'Moderate TN', 'High CRF'] --> ['High PostTest']"
"['Low CN', 'High CRF', 'Moderate TP'] --> ['High PostTest']"
"['Moderate CP', 'High CRF', 'Low TN'] --> ['High PostTest']"
"['Moderate TP', 'High CRF', 'Low TN'] --> ['High PostTest']"
"['Moderate Anxiety', 'High CRF', 'Mild Depression'] --> ['High PostTest']"
"['Moderate PreTest', 'High CRF', 'Mild Depression'] --> ['High PostTest']"
"['Positive Delta', 'High CRF', 'Mild Depression'] --> ['High PostTest']"
"['Mild Stress', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Mild Stress', 'Positive Delta', 'High CRF'] --> ['High PostTest']"
"['Moderate CN', 'Moderate PreTest', 'High CRF'] --> ['High PostTest']"
"['Moderate CN', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate CP', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Moderate CP', 'Positive Delta', 'High CRF'] --> ['High PostTest']"
"['Moderate Depression', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Normal Stress', 'Moderate Depression', 'High CRF'] --> ['High PostTest']"
"['Moderate TP', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
