Rule
['High CN'] --> ['Moderate PreTest']
['Low TP'] --> ['High PreTest']
['Severe Depression'] --> ['High PreTest']
['Moderate PostTest'] --> ['Moderate PreTest']
['Moderate Stress'] --> ['Moderate PreTest']
"['Neutral Delta', 'High CRF'] --> ['High PreTest']"
"['High ESF', 'Neutral Delta'] --> ['High PreTest']"
"['Low TP', 'Moderate ESF'] --> ['High PreTest']"
"['Low TP', 'Normal Stress'] --> ['High PreTest']"
"['Mild Anxiety', 'Mild Stress'] --> ['High PreTest']"
"['Mild Anxiety', 'Moderate Depression'] --> ['High PreTest']"
"['Mild Anxiety', 'Moderate PostTest'] --> ['High PreTest']"
"['Neutral Delta', 'Mild Depression'] --> ['High PreTest']"
"['Mild Stress', 'Neutral Delta'] --> ['High PreTest']"
"['Neutral Delta', 'Moderate Anxiety'] --> ['High PreTest']"
"['Moderate Depression', 'Normal Anxiety'] --> ['High PreTest']"
"['Low CN', 'Mild Stress'] --> ['Moderate PreTest']"
"['Mild Stress', 'Low TN'] --> ['Moderate PreTest']"
"['Severe Anxiety', 'Low TN'] --> ['Moderate PreTest']"
"['Mild Stress', 'Normal Depression'] --> ['Moderate PreTest']"
"['High CP', 'Neutral Delta', 'High CRF'] --> ['High PreTest']"
"['High CP', 'Mild Anxiety', 'Moderate Depression'] --> ['High PreTest']"
"['Moderate CN', 'High CP', 'Moderate PostTest'] --> ['High PreTest']"
"['High CP', 'Moderate Depression', 'Normal Stress'] --> ['High PreTest']"
"['High CP', 'Moderate PostTest', 'Moderate TN'] --> ['High PreTest']"
"['Severe Anxiety', 'High CP', 'Normal Depression'] --> ['High PreTest']"
"['High CP', 'Moderate TP', 'Low TN'] --> ['Moderate PreTest']"
"['Neutral Delta', 'High CRF', 'High TP'] --> ['High PreTest']"
"['Moderate CP', 'High CRF', 'Moderate ESF'] --> ['High PreTest']"
"['Normal Stress', 'Moderate Depression', 'High CRF'] --> ['High PreTest']"
"['Moderate TP', 'High CRF', 'Moderate ESF'] --> ['High PreTest']"
"['High CRF', 'Severe Anxiety', 'Moderate ESF'] --> ['High PreTest']"
"['Moderate TN', 'High CRF', 'Normal Anxiety'] --> ['High PreTest']"
"['Neutral Delta', 'High CRF', 'Normal Depression'] --> ['High PreTest']"
"['Normal Stress', 'Neutral Delta', 'High CRF'] --> ['High PreTest']"
"['Low CN', 'High CRF', 'Moderate TP'] --> ['Moderate PreTest']"
"['Mild Stress', 'High PostTest', 'High ESF'] --> ['High PreTest']"
"['Moderate CN', 'High ESF', 'High TP'] --> ['High PreTest']"
"['Moderate CN', 'High ESF', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CP', 'High ESF', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CRF', 'High ESF', 'Normal Anxiety'] --> ['High PreTest']"
"['High ESF', 'Moderate TN', 'Normal Anxiety'] --> ['High PreTest']"
"['High ESF', 'Moderate TN', 'Normal Depression'] --> ['High PreTest']"
"['Mild Stress', 'High PostTest', 'Moderate TP'] --> ['High PreTest']"
"['High PostTest', 'Moderate Depression', 'Negative Delta'] --> ['High PreTest']"
"['Mild Anxiety', 'Moderate CP', 'High TP'] --> ['High PreTest']"
"['Mild Anxiety', 'Moderate Depression', 'High TP'] --> ['High PreTest']"
"['Moderate Depression', 'Normal Stress', 'High TP'] --> ['High PreTest']"
"['Low CN', 'Moderate Depression', 'Moderate ESF'] --> ['High PreTest']"
"['Low CN', 'Neutral Delta', 'Moderate TN'] --> ['High PreTest']"
"['Low CN', 'Neutral Delta', 'Moderate TP'] --> ['High PreTest']"
"['Low ESF', 'Moderate TN', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CP', 'Moderate Anxiety', 'Low TN'] --> ['High PreTest']"
"['Moderate TP', 'Moderate Anxiety', 'Low TN'] --> ['High PreTest']"
"['Neutral Delta', 'Moderate TP', 'Low TN'] --> ['High PreTest']"
"['Mild Anxiety', 'Moderate CP', 'Negative Delta'] --> ['High PreTest']"
"['Moderate CN', 'Mild Depression', 'Negative Delta'] --> ['High PreTest']"
"['Moderate CP', 'Mild Depression', 'Negative Delta'] --> ['High PreTest']"
"['Moderate TN', 'Mild Depression', 'Negative Delta'] --> ['High PreTest']"
"['Mild Stress', 'Moderate TP', 'Moderate ESF'] --> ['High PreTest']"
"['Moderate CN', 'Negative Delta', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CP', 'Moderate Depression', 'Negative Delta'] --> ['High PreTest']"
"['Moderate CRF', 'Moderate Depression', 'Neutral Delta'] --> ['High PreTest']"
"['Moderate TN', 'Negative Delta', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CRF', 'Low CN', 'Severe Anxiety'] --> ['Moderate PreTest']"
"['Low CN', 'Severe Anxiety', 'Moderate ESF'] --> ['Moderate PreTest']"
"['Low CN', 'Moderate TN', 'Normal Anxiety'] --> ['Moderate PreTest']"
"['Moderate CRF', 'High CP', 'High ESF', 'Moderate TN'] --> ['High PreTest']"
"['Moderate CRF', 'High CP', 'High ESF', 'Normal Anxiety'] --> ['High PreTest']"
"['High CP', 'Low CN', 'High PostTest', 'Moderate Depression'] --> ['High PreTest']"
"['High CP', 'High PostTest', 'Moderate Depression', 'Normal Stress'] --> ['High PreTest']"
"['Moderate CRF', 'High CP', 'Low CN', 'Moderate Depression'] --> ['High PreTest']"
"['High CP', 'Low CN', 'Positive Delta', 'Moderate Depression'] --> ['High PreTest']"
"['High CP', 'Moderate TP', 'Moderate ESF', 'Low TN'] --> ['High PreTest']"
"['Moderate CRF', 'High CP', 'Mild Depression', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CRF', 'High CP', 'Moderate Depression', 'Normal Stress'] --> ['High PreTest']"
"['High CP', 'Low CN', 'Moderate TP', 'Moderate ESF'] --> ['Moderate PreTest']"
"['Low CN', 'Moderate TN', 'High CRF', 'Moderate ESF'] --> ['High PreTest']"
"['Low CN', 'Moderate TN', 'High CRF', 'Normal Depression'] --> ['High PreTest']"
"['Low CN', 'Moderate TN', 'High CRF', 'Positive Delta'] --> ['High PreTest']"
"['Moderate CN', 'High CRF', 'Normal Depression', 'Moderate Anxiety'] --> ['High PreTest']"
"['Moderate TN', 'High CRF', 'Normal Depression', 'Moderate Anxiety'] --> ['High PreTest']"
"['Moderate TN', 'Normal Stress', 'High CRF', 'Moderate Anxiety'] --> ['High PreTest']"
"['Moderate CN', 'Normal Depression', 'High CRF', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate TN', 'High CRF', 'Normal Anxiety', 'Moderate ESF'] --> ['High PreTest']"
"['Moderate TP', 'High CRF', 'Normal Depression', 'Moderate ESF'] --> ['High PreTest']"
"['Moderate TP', 'Normal Stress', 'High CRF', 'Moderate ESF'] --> ['High PreTest']"
"['Normal Anxiety', 'High CRF', 'Negative Delta', 'Moderate ESF'] --> ['High PreTest']"
"['Normal Depression', 'High CRF', 'Negative Delta', 'Moderate ESF'] --> ['High PreTest']"
"['Normal Depression', 'Moderate TN', 'High CRF', 'Normal Anxiety'] --> ['High PreTest']"
"['Normal Depression', 'High CRF', 'Negative Delta', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CN', 'High PostTest', 'High ESF', 'High TP'] --> ['High PreTest']"
"['Moderate CRF', 'High PostTest', 'High ESF', 'Moderate TN'] --> ['High PreTest']"
"['Moderate CRF', 'High PostTest', 'High ESF', 'Negative Delta'] --> ['High PreTest']"
"['Moderate CRF', 'High ESF', 'Moderate TN', 'High TP'] --> ['High PreTest']"
"['High ESF', 'Moderate TN', 'Normal Depression', 'High TP'] --> ['High PreTest']"
"['High PostTest', 'Moderate Depression', 'Normal Stress', 'High TP'] --> ['High PreTest']"
"['Moderate CRF', 'Low CN', 'High PostTest', 'Moderate Depression'] --> ['High PreTest']"
"['Low CN', 'High PostTest', 'Moderate Depression', 'Normal Stress'] --> ['High PreTest']"
"['High PostTest', 'Moderate TP', 'Negative Delta', 'Moderate Anxiety'] --> ['High PreTest']"
"['Moderate CRF', 'High PostTest', 'Moderate Depression', 'Negative Delta'] --> ['High PreTest']"
"['High PostTest', 'Moderate Depression', 'Negative Delta', 'Moderate ESF'] --> ['High PreTest']"
"['High PostTest', 'Moderate TN', 'Negative Delta', 'Normal Anxiety'] --> ['High PreTest']"
"['Low CN', 'Moderate TN', 'Normal Anxiety', 'High TP'] --> ['High PreTest']"
"['Low ESF', 'Moderate CN', 'Normal Depression', 'High TP'] --> ['High PreTest']"
"['Low TN', 'Moderate CP', 'Negative Delta', 'High TP'] --> ['High PreTest']"
"['Moderate CN', 'Mild Anxiety', 'Positive Delta', 'High TP'] --> ['High PreTest']"
"['Mild Anxiety', 'Moderate CP', 'Normal Depression', 'High TP'] --> ['High PreTest']"
"['Moderate CN', 'Moderate PostTest', 'Moderate CRF', 'High TP'] --> ['High PreTest']"
"['Moderate CN', 'Moderate PostTest', 'Moderate ESF', 'High TP'] --> ['High PreTest']"
"['Moderate CN', 'Moderate PostTest', 'Normal Stress', 'High TP'] --> ['High PreTest']"
"['Moderate CN', 'Neutral Delta', 'Normal Anxiety', 'High TP'] --> ['High PreTest']"
"['Moderate CRF', 'Moderate Depression', 'Normal Stress', 'High TP'] --> ['High PreTest']"
"['Moderate CRF', 'Severe Anxiety', 'Negative Delta', 'High TP'] --> ['High PreTest']"
"['Moderate TN', 'Moderate PostTest', 'Moderate ESF', 'High TP'] --> ['High PreTest']"
"['Severe Anxiety', 'Moderate ESF', 'Negative Delta', 'High TP'] --> ['High PreTest']"
"['Moderate PostTest', 'Moderate TN', 'Normal Depression', 'High TP'] --> ['High PreTest']"
"['Normal Stress', 'Moderate PostTest', 'Moderate TN', 'High TP'] --> ['High PreTest']"
